threshold,revenue_impact,tp,tn,fp,fn,n_flagged,recall,precision
0.48,91580,290,752,281,84,571,0.7754010695187166,0.5078809106830122
0.49,91660,290,756,277,84,567,0.7754010695187166,0.5114638447971781
0.5,88860,287,763,270,87,557,0.767379679144385,0.5152603231597845
0.51,88080,286,773,260,88,546,0.7647058823529411,0.5238095238095238
0.52,85260,283,779,254,91,537,0.7566844919786097,0.527001862197393
0.53,82420,280,784,249,94,529,0.7486631016042781,0.5293005671077504
0.54,81560,279,790,243,95,522,0.7459893048128342,0.5344827586206896
0.55,78740,276,796,237,98,513,0.7379679144385026,0.5380116959064327
0.56,78900,276,804,229,98,505,0.7379679144385026,0.5465346534653466
0.57,72300,269,817,216,105,485,0.7192513368983957,0.554639175257732
0.58,65460,262,818,215,112,477,0.7005347593582888,0.549266247379455
0.59,62600,259,822,211,115,470,0.6925133689839572,0.551063829787234
0.6,57860,254,830,203,120,457,0.679144385026738,0.5557986870897156
0.61,50180,246,838,195,128,441,0.6577540106951871,0.5578231292517006
0.62,48340,244,844,189,130,433,0.6524064171122995,0.5635103926096998
0.63,42620,238,852,181,136,419,0.6363636363636364,0.568019093078759
0.64,41760,237,858,175,137,412,0.6336898395721925,0.5752427184466019
0.65,35000,230,863,170,144,400,0.6149732620320856,0.575
0.66,29200,224,867,166,150,390,0.5989304812834224,0.5743589743589743
0.67,25340,220,870,163,154,383,0.5882352941176471,0.5744125326370757
0.68,23480,218,875,158,156,376,0.5828877005347594,0.5797872340425532
0.69,16820,211,885,148,163,359,0.5641711229946524,0.5877437325905293
0.7,14060,208,894,139,166,347,0.5561497326203209,0.5994236311239193
0.71,7320,201,900,133,173,334,0.5374331550802139,0.6017964071856288
0.72,640,194,909,124,180,318,0.5187165775401069,0.610062893081761
0.73,-5080,188,917,116,186,304,0.5026737967914439,0.618421052631579
0.74,-11820,181,923,110,193,291,0.4839572192513369,0.6219931271477663
0.75,-20440,172,933,100,202,272,0.45989304812834225,0.6323529411764706
0.76,-22260,170,940,93,204,263,0.45454545454545453,0.6463878326996197
0.77,-30820,161,953,80,213,241,0.4304812834224599,0.6680497925311203
0.78,-36580,155,959,74,219,229,0.4144385026737968,0.6768558951965066
0.79,-43340,148,964,69,226,217,0.39572192513368987,0.6820276497695853
0.8,-51020,140,972,61,234,201,0.37433155080213903,0.6965174129353234
0.81,-57820,133,975,58,241,191,0.35561497326203206,0.6963350785340314
0.82,-63600,127,980,53,247,180,0.339572192513369,0.7055555555555556
0.83,-68400,122,985,48,252,170,0.32620320855614976,0.7176470588235294
0.84,-75180,115,989,44,259,159,0.3074866310160428,0.7232704402515723
0.85,-81940,108,994,39,266,147,0.2887700534759358,0.7346938775510204
0.86,-86720,103,1000,33,271,136,0.27540106951871657,0.7573529411764706
0.87,-92520,97,1004,29,277,126,0.25935828877005346,0.7698412698412699
0.88,-100320,89,1006,27,285,116,0.23796791443850268,0.7672413793103449
0.89,-110100,79,1007,26,295,105,0.21122994652406418,0.7523809523809524
0.9,-112860,76,1016,17,298,93,0.20320855614973263,0.8172043010752689
